#_avanzadas,Jugador,Equipo,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,#_totales,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS
143,CHUMI ORTEGA,AND,0.413,0.3,122.4,11.5,11.2,11.3,10.1,20.9,3.2,0.0,13.7,-1.5,1.0,95.9,112.8,-16.9,22.3,8.1,153,8,127.0,25,7,25,0.28,1,9,0.111,10,12,0.833,11,12,23,9,8,0,8,17,,,,,,,,,,,,,,,,,,,,
140,COREY WALDEN,FOR,0.434,0.338,121.8,4.6,8.8,6.6,14.8,10.0,2.6,0.7,14.4,2.7,1.1,102.3,110.0,-7.7,26.8,8.6,133,8,155.2,39,11,37,0.297,3,21,0.143,14,18,0.778,6,11,17,14,8,1,5,20,,,,,,,,,,,,,,,,,,,,
152,DANI PEREZ,MAN,0.326,0.302,108.9,3.0,9.3,6.2,42.8,20.4,1.0,0.0,17.3,9.1,0.7,91.2,106.8,-15.6,28.5,5.5,140,8,158.0,33,12,48,0.25,5,29,0.172,4,6,0.667,4,13,17,42,3,0,13,24,,,,,,,,,,,,,,,,,,,,
83,DARIO BRIZUELA,FCB,0.586,0.558,178.8,1.2,9.9,5.9,20.3,18.1,3.0,0.0,20.8,0.5,1.2,108.3,114.8,-6.5,31.9,13.7,97,7,124.0,53,21,43,0.488,6,20,0.3,5,5,1.0,1,10,11,16,7,0,10,17,,,,,,,,,,,,,,,,,,,,
131,DARRUN HILLIARD,BRE,0.513,0.454,148.1,1.6,11.9,6.4,16.1,17.6,1.3,0.0,26.4,-4.6,1.2,93.3,114.3,-21.0,34.8,9.9,17,8,210.5,101,31,87,0.356,17,61,0.279,22,26,0.846,3,19,22,17,5,0,21,19,,,,,,,,,,,,,,,,,,,,
25,DAVID KRAMER,TEN,0.643,0.565,168.6,3.7,13.2,8.5,11.4,8.3,1.8,0.0,24.3,0.3,1.5,131.4,113.5,17.8,38.9,19.9,58,7,124.2,71,19,46,0.413,14,38,0.368,19,21,0.905,3,11,14,8,4,0,5,16,,,,,,,,,,,,,,,,,,,,
59,DAVID KRAVISH,UNI,0.528,0.514,197.8,8.9,16.7,12.6,17.1,5.0,0.6,1.2,21.3,4.5,1.1,116.7,116.0,0.8,29.0,16.2,131,5,87.4,40,16,37,0.432,6,11,0.545,2,2,1.0,6,10,16,9,1,1,2,10,,,,,,,,,,,,,,,,,,,,
157,DEE BOST,FOR,0.39,0.357,134.9,0.0,10.4,5.0,24.1,24.4,1.8,0.0,25.5,-5.3,0.8,73.0,114.0,-41.0,2.1,1.1,147,4,84.8,29,9,35,0.257,7,24,0.292,4,5,0.8,0,7,7,11,3,0,12,12,,,,,,,,,,,,,,,,,,,,
69,"DEREK COOKE, JR.",FOR,0.624,0.643,109.7,13.2,23.7,18.3,5.8,15.4,2.7,1.4,11.4,-1.7,1.5,121.0,104.9,16.1,54.6,15.2,126,8,152.2,41,18,28,0.643,0,0,0.0,5,11,0.455,17,29,46,5,8,2,6,18,,,,,,,,,,,,,,,,,,,,
14,"DERRICK ALSTON, JR.",MAN,0.589,0.467,155.2,5.7,14.8,10.4,14.1,12.2,3.0,1.0,27.5,-2.8,1.5,121.6,99.8,21.9,81.5,22.2,3,8,206.0,136,37,90,0.411,10,41,0.244,52,58,0.897,10,27,37,15,12,2,16,17,,,,,,,,,,,,,,,,,,,,
