#_x,Jugador,Equipo,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,Posición,#_y,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF
31,Philip Scrubb,LBC,.504,.438,138.0,5.0,14.7,9.6,12.1,25.6,2.2,0.8,15.5,-3.3,1.2,91.9,121.7,-29.9,28.6,7.9,Escolta (SG),116,7,147.5,38,12,32,.375,4,17,.235,10,13,.769,6,16,22,12,6,1,13,9
32,Chumi Ortega,AND,.395,.283,120.4,11.8,12.0,11.9,8.6,22.3,3.2,0.0,14.3,-2.8,1.0,90.4,110.6,-20.3,18.1,7.1,Escolta (SG),150,7,115.3,22,6,23,.261,1,8,.125,9,11,.818,10,12,22,7,7,0,8,15
33,Aleix Font,LBC,.458,.435,137.0,6.5,4.8,5.7,11.7,12.5,0.5,0.0,22.5,-1.5,1.0,95.0,127.9,-32.9,10.4,6.2,Escolta (SG),99,7,113.4,45,17,46,.370,6,21,.286,5,7,.714,6,4,10,8,1,0,7,17
34,Payton Willis,TEN,.414,.385,136.5,0.0,4.9,2.4,2.6,3.5,0.9,1.9,22.7,-0.5,0.9,88.1,119.7,-31.6,2.5,5.1,Escolta (SG),148,5,64.5,23,8,26,.308,4,13,.308,3,4,.750,0,2,2,1,1,1,1,6
35,Xabier Lopez-Arostegui,VAL,.363,.320,103.6,4.6,14.5,9.0,9.9,9.4,0.6,0.0,15.2,1.2,0.8,95.2,111.4,-16.2,10.4,4.8,Escolta (SG),152,5,87.2,21,7,25,.280,2,10,.200,5,9,.556,4,10,14,6,1,0,3,8
36,Maximo Fjellerup,SJG,.440,.424,119.4,4.7,19.2,11.7,9.4,25.4,2.1,0.8,17.1,-6.1,0.9,76.0,110.4,-34.4,12.6,4.6,Escolta (SG),135,7,129.8,31,13,33,.394,2,10,.200,3,5,.600,5,19,24,6,5,1,12,22
37,Stefan Jovic,VAL,.327,.292,95.0,2.1,8.2,4.7,41.8,42.1,2.3,2.3,21.4,-2.9,0.8,67.0,97.6,-30.6,5.3,1.5,Escolta (SG),156,3,45.9,9,3,12,.250,1,5,.200,2,4,.500,1,3,4,13,2,1,10,5
1,Semi Ojeleye,VAL,.629,.571,176.1,7.1,8.0,7.5,5.7,3.0,1.7,1.7,21.8,0.5,1.4,146.2,110.2,36.0,51.9,24.1,Alero (SF),27,5,126.0,81,27,56,.482,10,26,.385,17,19,.895,9,8,17,4,4,2,2,6
2,"Derrick Alston, Jr.",MAN,.574,.453,154.3,6.3,14.3,10.5,12.2,10.7,3.1,1.1,28.4,-3.0,1.5,121.1,96.3,24.7,73.5,22.7,Alero (SF),3,7,182.6,125,34,86,.395,10,41,.244,47,52,.904,10,24,34,11,11,2,13,13
3,Justin Anderson,FCB,.703,.670,184.6,5.4,14.3,10.3,3.5,8.8,1.5,1.6,19.5,-2.1,1.7,132.4,111.2,21.2,50.8,20.3,Alero (SF),39,7,137.1,73,25,44,.568,9,18,.500,14,18,.778,5,16,21,3,4,2,5,7
4,Joan Sastre,TEN,.620,.575,165.0,3.7,14.3,9.1,14.4,4.4,3.5,0.0,14.1,4.8,1.4,137.9,109.8,28.1,26.0,17.6,Alero (SF),143,5,82.3,27,11,20,.550,1,10,.100,4,4,1.000,2,8,10,7,5,0,1,7
5,Thomas Bropleh,FOR,.610,.568,178.5,2.2,14.1,8.0,12.9,15.5,2.2,0.7,26.1,-4.8,1.4,107.7,109.0,-1.3,50.5,16.7,Alero (SF),6,7,163.9,100,33,74,.446,18,40,.450,16,18,.889,3,19,22,10,7,1,15,15
6,Rodions Kurucs,MUR,.568,.542,147.4,7.4,26.9,16.1,13.8,15.2,2.8,0.0,21.0,-1.9,1.3,108.4,104.9,3.5,59.0,16.7,Alero (SF),31,7,174.7,76,29,59,.492,6,19,.316,12,18,.667,11,32,43,13,9,0,12,22
7,L.J. Figueroa,LBC,.530,.500,148.1,7.1,22.0,14.2,14.2,7.8,2.5,2.2,21.8,1.9,1.2,114.0,120.3,-6.3,36.3,16.6,Alero (SF),88,6,105.6,50,19,41,.463,3,8,.375,9,14,.643,6,17,23,9,5,2,4,17
8,Thomas Scrubb,TEN,.606,.595,161.7,11.8,13.6,12.7,6.4,4.9,2.2,0.0,13.2,1.4,1.3,136.2,112.5,23.7,46.3,15.6,Alero (SF),91,6,155.8,47,18,37,.486,8,21,.381,3,4,.750,12,14,26,6,6,0,2,8
9,Kaiser Gates,JOV,.654,.605,188.8,7.3,22.2,15.9,3.1,14.4,1.0,1.8,16.4,-3.7,1.4,119.5,105.7,13.8,51.3,14.6,Alero (SF),64,6,167.3,62,21,43,.488,10,25,.400,10,10,1.000,8,33,41,3,3,3,8,17
10,Elias Valtonen,GRA,.608,.605,158.8,5.1,12.6,8.5,7.4,4.2,1.9,0.8,15.5,0.9,1.3,124.4,109.3,15.2,36.9,14.5,Alero (SF),76,6,139.7,55,21,43,.488,10,20,.500,3,5,.600,6,12,18,5,5,1,2,16
11,Timothe Luwawu-Cabarrot,BASK,.536,.500,163.9,2.9,15.0,8.8,13.7,14.2,2.2,1.2,22.4,-1.5,1.2,107.4,120.1,-12.8,41.4,13.7,Alero (SF),28,7,176.2,78,29,67,.433,9,25,.360,11,13,.846,4,20,24,14,7,2,12,23
12,Alberto Abalde,RMB,.517,.419,156.7,3.2,9.0,6.5,7.9,4.3,2.4,0.0,16.3,2.0,1.2,121.0,108.1,12.9,28.6,12.5,Alero (SF),98,7,138.5,46,13,37,.351,5,15,.333,15,17,.882,3,11,14,7,6,0,2,11
13,Oriol Pauli,FOR,.496,.489,119.8,2.3,13.9,8.0,25.7,20.2,3.6,1.4,18.1,1.0,1.1,96.0,105.8,-9.7,46.5,12.3,Alero (SF),86,7,157.1,51,20,47,.426,6,22,.273,5,10,.500,3,18,21,22,11,2,13,8
14,Nicolas Brussino,GCN,.489,.432,140.9,4.2,14.5,9.3,11.9,11.9,1.9,1.9,20.9,-0.6,1.1,101.9,108.7,-6.8,39.9,12.2,Alero (SF),50,7,174.7,65,22,59,.373,7,33,.212,14,17,.824,6,20,26,12,6,3,9,15
15,Edgar Vicedo,GRA,.533,.467,137.3,5.7,21.2,12.6,5.9,9.9,2.1,1.7,14.8,-1.0,1.3,110.1,107.9,2.3,30.9,11.7,Alero (SF),115,7,126.3,39,11,30,.367,6,22,.273,11,15,.733,6,18,24,4,5,2,4,13
