#,Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER
91,Nihad Djedovic,UNI,.589,.521,150.0,2.7,11.8,7.1,11.8,14.4,2.2,0.0,16.7,0.3,1.5,114.9,107.0,7.8,26.1,13.4
92,Musa Sagnia,MAN,.520,.500,160.6,12.4,21.5,17.1,5.7,17.7,1.7,5.9,11.8,-2.6,1.1,107.2,94.3,13.0,42.5,13.4
93,Beka Burjanadze,LBC,.583,.571,143.7,8.5,18.1,13.1,6.6,10.2,0.6,0.0,18.0,-1.3,1.5,115.8,124.8,-9.0,45.1,13.1
94,Tyler Kalinoski,UNI,.622,.560,170.1,2.5,7.3,4.8,13.6,12.5,1.0,0.0,17.1,1.5,1.5,122.5,110.9,11.6,34.0,13.1
95,Artem Pustovyi,JOV,.615,.462,133.7,10.1,6.7,8.1,10.2,26.2,1.4,6.5,20.6,-7.3,1.7,105.9,111.7,-5.8,23.8,12.8
96,Andrew Albicy,GCN,.670,.672,151.7,1.6,9.7,5.6,21.8,23.8,2.1,0.0,12.9,2.6,1.5,117.3,110.9,6.4,41.6,12.6
97,Vladimir Brodziansky,MUR,.597,.575,153.3,6.5,14.2,10.0,7.3,13.6,1.1,0.7,16.5,-2.1,1.3,112.9,110.1,2.7,33.3,12.6
98,Alberto Abalde,RMB,.517,.419,156.7,3.2,9.0,6.5,7.9,4.3,2.4,0.0,16.3,2.0,1.2,121.0,108.1,12.9,28.6,12.5
99,Yankuba Sima,UNI,.634,.654,109.8,3.8,22.9,13.1,3.1,14.3,0.5,3.4,16.1,-3.6,1.5,109.9,108.6,1.3,23.9,12.4
100,Oriol Pauli,FOR,.496,.489,119.8,2.3,13.9,8.0,25.7,20.2,3.6,1.4,18.1,1.0,1.1,96.0,105.8,-9.7,46.5,12.3
101,John Shurna,GCN,.592,.571,154.3,6.5,8.4,7.4,3.5,6.0,0.4,0.0,16.0,-0.7,1.3,122.7,115.3,7.4,29.5,12.2
102,Nicolas Brussino,GCN,.489,.432,140.9,4.2,14.5,9.3,11.9,11.9,1.9,1.9,20.9,-0.6,1.1,101.9,108.7,-6.8,39.9,12.2
